"",Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,Sample16,Sample17,Sample18,Sample19,Sample20,Sample21,Sample22,Sample23,Sample24,Sample25,Sample26,Sample27,Sample28,Sample29,Sample30,Sample31,Sample32,Sample33,Sample34,Sample35,Sample36,Sample37,Sample38,Sample39,Sample40,Sample41,Sample42,Sample43,Sample44,Sample45,Sample46,Sample47,Sample48,Sample49,Sample50,Sample51,Sample52,Sample53,Sample54,Sample55
RPS4X,925.382,1341.6799,430.5268,662.7809,1147.0525,2270.593,2090.9569,638.2059,617.0501,917.5063,809.4462,884.161,746.5638,1647.4337,1383.5137,2299.6704,2153.5886,398.1473,513.5097,1095.5965,1421.4726,1253.0821,736.6082,1801.6507,1358.8778,482.4138,974.9414,954.3511,545.2686,726.0803,1642.3681,936.9035,696.2905,946.5261,970.7876,713.7987,1576.7476,625.0501,761.1791,1179.6502,780.1468,1408.178,1058.5809,588.7221,1382.4963,1352.2186,512.9716,660.2743,977.077,724.5307,1193.1675,562.6297,246.4153,1245.1474,241.7491
HBM,1526.8197,10.1221,540.5385,12.255,1.1139,203.753,9.3823,102.0159,454.1189,397.0072,1782.9581,30.0802,733.9604,52.8711,62.1808,108.4643,15.8975,41.6075,496.767,11.5202,153.8243,33.6345,1639.5988,30.9646,8.3548,9.3834,69.2677,69.8852,271.7546,235.692,1.0268,4.8209,27.3599,401.3233,42.7672,14.7347,27.1637,813.6066,160.6232,77.3097,7.393,26.366,64.1074,520.2192,4.7971,3.3264,196.709,21.0416,2.6159,135.8095,86.2478,8.9899,2127.9702,1360.9028,22.0255
HBD,859.7435,20.7448,319.8625,13.4383,4.1265,151.6036,8.7246,82.3469,363.621,1382.2803,1861.1087,32.2984,593.8527,45.789,43.4206,410.3554,9.0157,97.8361,922.0082,11.5845,75.6113,32.6168,694.795,27.5665,7.4554,10.9971,51.7191,69.3022,131.8193,102.7908,3.8917,20.6686,40.4229,165.738,16.438,6.9226,16.275,1412.4322,963.5295,120.3011,4.5734,32.585,45.5191,1710.3691,14.6775,4.6888,253.9537,298.5563,28.6073,34.895,59.9192,40.6107,1432.4642,1327.4171,23.9431
TMSB4X,794.9613,1215.8853,1487.0197,366.0482,671.7627,429.3857,365.8725,962.7169,695.1504,1874.4615,1477.7941,1639.3952,785.9767,959.5684,922.602,740.9747,568.9653,2372.4852,1287.9008,448.1634,1016.1903,1409.6309,1385.7425,908.3641,1092.2627,1006.5927,1663.008,1435.9631,1012.0027,1088.054,693.0643,737.9361,395.2839,1185.5039,825.0483,1685.1127,1114.5397,390.3342,1022.4977,958.2298,696.1946,1792.9619,1763.5526,591.6486,526.9508,405.9567,1140.7517,585.2011,874.2259,1115.8731,846.7166,822.1486,641.3578,480.5712,2118.8436
RPL13A,1796.1473,1184.9226,646.6395,571.3008,1196.3029,1814.2714,2595.0625,1316.6469,1103.2545,1172.8048,1011.5607,1178.8788,701.8138,1423.7856,1073.3205,2058.8211,2137.0055,539.7351,362.9893,1067.3992,1394.8618,1321.298,1105.0008,1793.806,1650.2935,712.5434,1541.3417,1099.6259,857.2821,822.7521,1314.7087,945.4906,622.7199,1373.3472,1253.6124,652.6566,1173.0875,939.5201,1042.6822,1912.7693,1547.0085,1185.1668,1320.6728,1398.4644,1873.0694,2209.9219,1312.3305,1217.9527,1282.4175,1091.3865,1348.8442,1126.8873,526.5313,1448.7324,606.2024
RPL8,1104.3175,1266.8557,745.8697,623.2673,1818.3286,2852.2025,2190.9121,1065.1931,625.3021,1084.8105,1040.3049,936.5365,722.7244,1173.2319,1710.9049,946.8029,1463.0167,424.526,350.1314,1379.4987,1743.9012,784.422,500.0312,1462.9653,1249.0641,640.1717,990.7202,828.4763,834.0076,354.5129,854.8283,1147.9321,965.2839,1893.7157,1408.0122,504.3017,987.4751,1032.4407,747.4579,1485.2574,1127.8237,991.9082,942.094,967.3605,1168.7412,923.504,884.9986,1082.1029,913.7576,1123.3272,1012.798,613.5004,750.7602,1280.6684,406.1473
FTH1,244.1167,109.0105,292.1575,452.4283,98.9672,85.5539,220.4452,297.8868,542.9283,552.6368,806.1881,186.9638,137.0624,125.7131,224.4115,23.7418,157.3099,205.4577,129.7339,75.1829,419.8944,1374.97,507.6191,67.3953,445.8113,59.7196,198.2669,310.8962,236.9386,615.516,100.2445,18.5802,95.4434,384.5299,532.861,2021.8854,922.9381,246.8554,2378.9696,93.3015,254.0245,546.0292,198.5508,186.2118,347.7448,719.0016,152.7565,44.7054,35.0758,509.8936,301.805,897.7797,193.477,75.0257,60.7725
S100A4,207.6452,2206.511,792.2623,48.0122,577.9252,371.835,614.8424,173.1133,93.5146,1495.0586,1054.6842,358.7091,447.5511,279.5902,217.1096,168.4064,153.8952,545.5649,100.256,551.918,904.7268,830.8686,236.6482,130.8277,324.4531,637.0137,869.8232,117.0144,231.4839,182.4826,160.1627,1089.3784,463.552,530.7329,251.484,89.5367,532.7506,76.0656,203.7491,61.8773,79.4442,1880.1923,748.0864,97.7268,300.5121,178.1847,46.6731,100.5881,497.8519,475.7523,198.8601,146.2312,62.2464,300.0647,125.5872
ELANE,196.147,46.2966,1.7463,0.2434,9.6632,26.7368,1351.0704,1243.4347,61.0303,3.5518,320.5405,97.0831,63.5192,389.6639,51.5809,21.7649,8.1602,511.5695,1287.0435,30.7775,82.069,90.6216,66.059,4.8276,19.015,169.1084,113.6525,478.4457,984.2338,594.2039,57.8557,4.4202,11.8607,439.5539,127.9314,1215.0293,394.6109,134.7138,177.604,216.5387,66.1159,27.7221,1.7217,89.2769,23.6333,10.0711,492.8882,54.686,4.5127,165.0687,1601.4534,94.1588,417.8482,970.5903,1544.2359
S100A6,203.2752,1222.3223,1033.5586,87.1207,318.4604,134.0179,513.468,393.2999,169.0489,1839.7298,982.1473,551.7466,710.3377,294.5681,299.4655,142.5643,235.5024,1081.1768,457.5447,238.4941,479.2532,1230.5057,363.6963,128.0916,362.4847,642.8859,897.5038,139.7673,434.4166,366.5145,149.0155,298.3961,224.6169,462.6662,211.8267,485.1457,606.8332,148.6677,531.6601,167.3213,156.2629,2401.9851,1038.9776,304.8511,220.8317,140.3532,181.0162,354.8599,382.0248,587.7325,438.5611,332.3824,276.3402,324.3719,849.7387
EPX,0.8054,0.1928,0.0156,0.0071,0.5436,2.4221,0.0419,0.1561,0.1872,0.0493,0.7677,1.1926,1.5207,39.3141,1.1791,6.8885,0.0985,330.4048,35.7979,65.4121,0.2364,3.745,0.2634,1.2897,0.4235,5.596,0.0399,3231.7468,4.3594,23.221,1.5751,0.4001,0.3251,17.6955,0.6697,17.6672,0.2051,86.0572,1.156,0.8226,0.205,2.0985,0.2372,102.3448,0.1336,0.1051,102.2694,7.7663,0.1948,1.0389,2.1921,0.1173,54.8308,0.9032,12.1953
PRTN3,69.686,52.7451,3.1813,0.1676,196.139,278.8659,446.3915,496.3915,29.5146,8.4987,449.545,60.3197,87.978,539.9256,696.2255,30.9535,15.7036,113.8726,450.1324,188.4515,742.9123,42.2103,27.1133,1.304,5.1712,115.2245,166.6595,343.8794,915.2541,71.8246,48.2237,11.7655,38.0468,429.7662,73.9951,677.4773,1345.9827,31.0623,317.3157,90.551,38.7294,17.1899,0.0906,294.847,64.7063,29.8626,927.6771,1006.7289,14.1939,90.816,313.1454,34.7184,1011.3947,2378.2445,556.056
MT2A,20.2722,34.4183,45.6916,11.7238,81.1351,42.5549,11.427,50.8176,52.0013,42.642,18.7417,66.2786,94.388,98.8153,3175.3463,18.2805,677.5619,113.8761,17.8238,23.5139,83.3131,88.2495,23.8738,20.8416,48.7107,105.6919,42.5605,41.5241,140.6448,62.4678,124.8599,128.4093,217.2658,54.5586,43.2937,452.5628,301.6177,5.9725,90.4926,21.8249,19.3573,129.6709,89.4545,12.0876,41.9151,108.7379,31.9753,61.3327,90.6409,16.4051,56.4303,45.4285,32.1895,46.3609,32.9577
RPS8,1129.1888,1180.3682,552.8559,957.4784,1329.7341,2414.7959,1819.688,840.0988,934.1888,830.6952,764.0037,716.8811,580.4247,1082.0396,936.0669,1970.6789,1448.9047,324.2489,303.1144,1138.2549,1390.9207,1098.0445,651.9881,1839.6209,1500.9198,560.0523,1160.1557,789.6897,506.0713,500.3693,1048.19,1395.289,691.9463,1078.8828,953.7994,428.3105,975.8732,809.809,987.9722,1381.5935,1154.4192,1120.5176,869.5688,841.2646,1500.7066,1568.6822,796.2416,909.3717,1093.7904,1112.9157,1020.2458,894.4555,376.4912,1392.8647,353.2203
HSPA5,587.4874,159.7817,298.6115,230.6059,743.2818,986.7318,296.2441,626.4463,226.5932,869.4966,332.0744,1146.3478,145.5118,260.9621,640.9321,149.0272,232.1247,517.5628,153.5972,169.6481,329.4414,673.0325,962.0039,223.1252,462.2705,314.9023,163.9527,1805.068,284.3531,193.2252,286.3402,201.2034,261.5996,328.164,336.1056,603.577,502.1396,2164.2729,892.4249,587.2408,374.0188,338.8483,311.4567,1767.3534,233.9724,391.8982,613.3036,1060.4321,627.7726,845.6099,375.0883,196.7528,302.4446,232.0042,504.0431
FCER1G,39.3736,1287.52,688.8924,8.8032,125.7967,59.24,126.8423,224.8137,60.3952,1231.3003,600.9833,400.0681,416.6854,158.9722,315.0087,60.4501,277.7992,1036.2879,593.8887,65.333,313.7662,797.3526,158.9681,56.5148,373.4217,514.1809,785.8239,234.0687,323.21,529.4408,26.5484,228.4302,91.8937,243.6882,68.0846,1481.0496,528.8515,23.806,462.7472,48.7354,23.4642,1436.9023,1044.91,109.9276,137.4041,42.1965,91.5728,32.9322,310.3202,224.5831,96.2984,99.3133,86.7305,67.7627,1632.345
RPS28,1456.6114,1045.3741,666.456,643.1507,1104.2886,2065.0093,2119.4349,1416.3193,401.7835,593.7027,556.672,1204.6324,667.2964,866.1105,1067.5493,1563.8132,1492.1442,447.8695,400.3832,850.5466,893.105,1055.4077,866.4278,1560.8886,1472.239,571.261,1418.4359,659.9546,556.5768,333.5464,696.3317,1025.647,627.425,1065.2414,1095.8071,541.7881,1286.0224,818.1258,919.8816,716.1798,712.2266,510.6354,681.6499,817.1898,659.5624,746.8512,1201.0958,1494.982,916.1503,1272.1415,525.8109,437.9121,519.3619,1259.568,458.7446
RPL13,1215.6803,1086.097,428.8211,541.5573,755.1514,964.9923,2380.1581,844.8406,610.5265,929.3179,816.0644,682.5243,531.5303,1011.4885,1057.6005,658.3596,1448.8096,239.6498,182.9069,731.8211,1190.2035,978.227,593.6026,1480.029,1471.2304,458.4358,1172.117,574.3538,475.9103,562.7428,1142.2254,731.088,639.6829,1660.8038,1362.632,450.2844,686.1177,846.825,725.8094,938.4491,826.7571,1080.3315,938.5348,655.5018,1228.2349,1070.7849,767.0935,821.44,1095.6346,1322.9575,788.3371,464.4745,276.1147,1098.7256,205.767
JUNB,382.7687,797.4105,503.133,1057.797,848.0812,1276.331,1500.7609,503.5708,422.1235,2146.9736,1138.2935,503.9471,1052.7481,181.5458,442.9559,718.5419,327.0331,666.4427,266.8746,24.5271,470.5307,292.1786,319.8224,76.1877,1119.2298,496.643,1357.8514,589.5211,679.5134,486.3194,694.4133,292.0453,244.1202,820.9603,684.5448,476.8259,740.2029,292.9015,522.9519,182.8895,1092.0252,839.6381,1220.361,576.0989,389.9042,434.7993,319.1322,332.9862,374.9151,496.1768,322.9992,439.8917,246.4489,395.4788,232.7397
SLC25A6,936.9154,1928.3939,836.9509,800.8996,758.897,1275.0622,1776.8916,810.1584,804.2614,1255.9593,1264.6292,763.8632,505.9586,1250.4974,1153.707,1322.6376,1769.7979,382.5466,307.7998,942.6833,1649.0019,1321.0516,843.627,1329.3786,1310.0596,668.4102,975.4822,637.9551,531.7125,608.3255,1036.8872,1237.8479,929.9772,1503.2736,1575.7625,452.321,1480.3722,473.2786,765.9183,707.5193,922.77,1213.1852,1148.8857,578.0792,1174.2048,1321.0558,895.1418,919.0566,952.5044,1058.7769,837.5092,699.5265,306.3419,1054.9551,368.0863
VIM,82.3543,466.6986,369.3334,2452.6889,1335.0135,345.8914,504.6971,282.6566,230.2001,664.2718,475.9313,306.2789,203.9291,631.77,403.7405,167.51,301.5162,427.3004,262.4121,348.229,450.0056,1346.0816,91.1067,128.8337,443.9835,402.3884,273.6933,133.0422,200.8487,238.9362,161.9436,549.0066,617.1907,308.1575,248.4328,413.8762,434.1763,96.582,325.3251,127.2655,168.1284,957.9714,395.8292,92.3911,211.5796,189.5765,154.6734,151.6925,147.3523,470.5937,95.3949,128.2504,108.9541,267.9002,179.4524
RPS19,983.3648,883.7859,374.6017,431.2508,719.825,1036.2145,2126.5084,930.6317,848.0919,627.6398,593.8836,733.8457,440.8519,1091.5456,1043.4249,1838.9901,1961.5989,360.4849,233.3812,843.1659,1044.9572,907.9708,707.2297,1277.8803,1031.365,427.5371,960.8451,807.2936,472.8319,503.4742,909.6553,857.9098,663.7585,1261.5121,1069.0938,725.1856,901.0297,686.2488,680.1248,1184.6722,953.5421,920.3792,958.0295,953.0548,1403.7023,1624.4411,943.3563,1062.7633,734.5886,844.7126,1181.9457,989.0412,346.542,1004.7251,471.6422
DNAJB1,38.6905,34.0591,59.819,19.6936,15.8702,32.7806,29.7283,36.4746,64.9053,32.8759,29.1337,41.781,49.0132,45.8001,35.5873,15.5101,55.0733,57.0289,44.3876,10.5913,40.6333,222.0637,54.3753,12.7526,53.2631,34.9609,67.4728,117.4636,71.8338,59.0748,39.2027,15.9736,31.1719,65.4164,72.234,50.0047,37.6196,2804.9531,52.6022,14.8459,20.3998,73.356,93.5985,72.3643,21.3085,31.8384,40.7322,45.5351,41.2785,57.2155,49.1596,60.3034,34.938,44.9709,26.3635
PTMA,1185.3838,1746.4974,1108.2107,1034.9391,1507.535,1607.7779,1029.6387,1004.0801,925.0309,962.1119,926.1006,1034.1269,786.455,1363.0394,1592.644,1417.9232,1192.1228,745.1174,503.3764,1472.1694,1833.0205,1033.9672,1244.7954,1825.1464,1248.1989,1586.755,1001.1521,1321.2725,945.4135,676.43,1458.011,1586.0952,1639.4138,793.0611,734.3896,491.2221,1300.4319,599.1124,941.2512,1486.5998,2027.8019,1042.8547,953.6838,790.5736,1446.6463,1818.9775,1141.0004,1256.8285,1548.0455,921.8996,1431.5109,1654.1374,687.8113,1043.0218,1055.6078
G0S2,17.5661,5.7632,782.352,0,50.5855,11.0435,1.3865,10.6217,13.0399,311.389,971.7895,254.0274,1455.4658,17.9934,5.9792,70.4033,48.1978,996.4795,378.8113,22.3027,227.1754,107.9154,116.4162,3.8018,0.4584,161.235,985.7855,486.9018,829.3954,160.6936,1.7285,4.0658,5.7036,234.7709,15.718,947.5125,1125.4227,37.2709,594.3352,8.4182,7.2109,126.751,355.7923,38.0406,0.3759,2.5053,128.2414,7.0305,76.2561,356.2328,3.2326,1.0722,35.8223,21.274,270.0883
HSP90AA1,113.0072,89.017,191.0225,118.3142,254.077,172.2037,147.0503,166.7136,281.6582,195.9417,145.4022,333.4434,245.6989,198.0341,243.2213,190.1387,132.0972,138.6121,128.267,386.3554,356.0851,288.6858,164.9957,254.8955,173.3664,362.5792,166.3781,321.5557,235.718,162.3853,411.4412,522.3205,251.8763,176.97,164.8895,152.5005,183.735,2794.3593,441.958,276.0506,153.3611,148.7196,156.7039,308.9446,253.4403,263.1036,195.1001,414.1793,310.1328,338.2351,420.109,340.6527,309.063,298.8399,299.1607
HLA-B,703.718,993.2891,659.5023,282.1356,385.562,445.0003,713.161,441.3416,364.109,1341.8496,883.7191,487.5299,1004.6743,342.7205,1043.5164,185.8256,634.7745,896.0123,489.7658,440.6052,969.1863,1268.7304,324.764,150.8468,531.9294,840.7273,629.2721,428.9985,551.07,693.1033,1689.7806,381.6175,1289.6082,744.7486,1127.1018,495.7596,435.4691,208.7261,756.5521,207.7414,156.9779,961.7931,1002.4683,207.5663,341.0965,374.2504,275.2488,449.0127,791.3693,1187.1925,319.1502,351.8638,136.8594,821.8099,584.839
RPL3,872.0749,575.9098,338.6781,790.2063,1052.3201,1321.944,1226.3332,1007.5619,509.6096,476.4657,502.3547,754.0012,338.6873,980.3779,824.282,1185.0522,1477.6411,297.4994,232.0161,718.798,643.0516,689.6289,599.4983,1261.0326,1453.0095,454.348,656.5657,674.8035,637.8629,589.1732,787.8885,479.3352,448.1054,828.6275,932.4474,407.9654,722.0735,711.3578,756.5322,1480.6395,1284.541,412.7473,707.5972,1132.9199,1390.8191,1810.8438,1130.2717,1031.5676,825.8912,693.1607,995.2151,833.8778,558.0446,759.4171,389.8902
PSME1,694.981,1220.527,525.4214,1073.8067,1326.4746,1722.8653,942.7392,568.6624,374.2639,773.6422,579.8337,472.302,452.7044,603.6834,805.0409,784.2041,610.2616,516.0459,210.0012,1108.5712,762.1797,503.6967,537.138,1835.794,1158.2179,1093.5034,686.4178,445.5447,343.1883,366.0837,798.4707,780.6053,667.2171,612.0364,615.3951,178.6552,562.0237,250.7422,440.3011,1416.0497,1344.8936,529.101,914.5476,449.9493,644.4169,442.9267,440.8958,641.0919,709.7851,488.6361,810.2504,710.9327,501.8876,622.3782,416.2942
RPLP0,1178.998,1380.0789,400.9581,499.6629,1070.37,1626.4585,1561.4033,687.4169,546.4139,787.7732,873.0681,557.1066,406.4674,1245.5315,940.8787,1471.6482,1757.7361,277.8587,316.012,1011.7098,1281.2207,843.2885,634.7847,1160.3239,997.7802,556.6903,887.2383,625.4345,433.482,465.5711,957.6979,905.6239,870.3101,1028.4634,934.7327,590.9492,902.4828,809.1038,900.7141,858.0631,714.6401,715.8422,605.9277,763.421,1342.4813,1296.9899,1143.4597,1160.2556,1085.4395,1091.765,889.9556,539.4912,367.2325,1107.9175,404.2829
RPS14,1648.7753,1114.6927,681.342,373.9356,978.1908,1583.975,1510.6529,1047.2417,687.8124,857.4696,882.2031,843.386,568.0726,1239.8871,1073.2473,1214.5053,1290.2702,502.0262,372.3672,1036.0788,982.7409,838.471,858.5994,1502.5687,1324.7056,503.1342,1272.2859,299.3288,261.387,654.0664,960.7815,885.8046,469.9373,1082.9878,888.3251,576.9689,1003.382,678.3549,776.9101,1350.8405,1081.7289,885.9386,1089.6356,981.7155,1282.5241,1605.6663,1131.1638,1040.086,850.2948,895.6017,799.8135,690.9572,571.5734,1308.1339,710.8881
GAPDH,422.1009,781.4529,543.2105,510.3559,881.7488,668.5128,799.9299,696.4559,522.6959,752.4121,622.2021,736.1887,283.1824,1203.7449,1095.6589,694.3133,1174.2144,908.1823,717.2578,630.2494,751.1161,1118.1656,595.6201,812.6527,779.4576,436.7422,292.3638,519.0914,382.5018,943.2754,571.1011,2076.4959,1738.264,1049.3079,1009.381,769.672,645.7501,252.3601,516.4539,885.0411,744.862,730.6991,347.2294,449.3441,560.1033,794.1943,1052.6299,627.6861,394.8421,476.3743,867.1151,931.3146,480.0368,413.5057,1065.1265
RETN,17.3675,11.3757,26.6525,0.0373,8.6236,41.2213,0.5334,4.6713,72.4425,1.5292,209.1866,156.3528,151.714,154.1213,144.4293,19.089,11.3894,243.6557,1031.2662,4.7044,37.2148,136.9466,123.4027,19.8222,22.1835,126.1892,400.4417,59.5096,239.4172,76.1446,15.4631,3.5969,5.2226,581.8507,23.3365,620.602,299.8728,69.5929,37.7055,66.7002,35.6915,36.3484,154.1955,5.1129,149.413,62.9928,105.3767,18.3431,13.3439,98.2072,61.8134,32.3746,7.1953,3.491,2173.0939
CXCL2,42.2548,4.4688,28.7447,151.5391,104.6306,23.1566,154.2545,211.8112,140.6532,4.0932,55.9129,39.5872,15.866,20.7632,70.823,239.6937,60.1508,9.5649,13.9927,2.8464,7.5221,26.9724,15.7186,0.7119,1.9555,2.2322,37.2658,30.1682,156.2262,76.3375,19.3314,3.7604,15.5767,70.6873,24.9804,2444.0288,318.9626,11.588,348.2414,33.3862,15.8198,2.9485,1.9616,35.4384,50.7769,40.2546,21.4586,19.1002,8.3097,16.1255,6.7682,19.4995,3.4222,24.8675,33.4253
HLA-DRB1,158.0121,628.1896,399.6926,326.639,311.6541,175.7165,181.1678,216.4233,177.5315,1060.6881,1108.3543,161.5426,119.7324,495.5388,924.9818,30.0531,32.1283,434.0839,87.0895,464.0515,447.345,304.0432,215.4089,341.2549,1531.0235,221.3357,451.6347,329.8724,305.6473,184.5535,298.5311,47.3234,290.4319,37.8333,43.9108,575.4145,906.572,13.4686,227.2542,172.0872,189.8746,448.1818,801.446,36.9457,820.5449,839.5464,177.276,137.2527,185.9726,224.6507,46.8007,78.257,78.9319,180.9054,190.0227
